Job Title,Job Description,Company Name,Location
iOS Engineer,"Who We Are:


KeepTruckin is on a mission to modernize the trucking industry. With the leading fleet management platform, we are bringing trucks online and fundamentally changing the way freight is moved on our roads.

We see our hard work rewarded in tangible ways every day and we believe that intelligence is most powerful when paired with humility. We're motivated by the opportunity to impact and improve every facet of a trillion-dollar industry that touches everyone's lives. KeepTruckin is proud to be a Forbes Cloud 100 company, a 2020 Career-Launching Company by Wealthfront and named a Forbes Best Startup Employer 2020.

About the Role:

As one of our first mobile engineers in Bangalore, this is a great opportunity to make a significant impact in designing and building our new KeepTruckin Fleet Manager iOS app and as well as grow by working directly with experienced technology professionals with backgrounds from Silicon Valley companies like Google, Twitter, Facebook and Uber (to name a few). We are looking for candidates who have a familiarity with Objective-C and Swift, and a good understanding of system architectures (mvc, mvvm, redux) and a forward thinking mindset aimed at high readability (declarative) code, as well as identifying problems or bottlenecks before they become issues.

What You'll Do:
Develop from scratch our new iOS KeepTruckin Fleet Manager App
Work with product team to refine feature specs, and work with cross functional teams like IoT, Embedded, Data Science/ML, Computer Vision & Motion teams to create fluid user experiences with interactive visualization for a multitude of data from these different teams
Communicate with backend engineers about API requirements or refinements, and engage with the senior engineers for mentorship to learn & grow in your areas of interest
Analyze our user's data to identify bugs, and help support team to diagnose user problems
Be able to work as part of a small, tightly knit team
What We're Looking For:
2-4 years of experience working on iOS apps
Proficiency in Objective-C, Swift, Storyboards, XIBs, and programmatic view layouts and transitions
An understanding of Apple UI/UX and application design paradigms
An appreciation and understanding of automated app testing
Knowledge or interest in commercial vehicles/trucking is a plus!
Creating a diverse and inclusive workplace is one of KeepTruckin's core values. We are an equal opportunity employer and welcome people of different backgrounds, experiences, abilities and perspectives.

Please review our Candidate Privacy Notice here.","KeepTruckin
2.9",Bengaluru
Engineer II - iOS Developer,"Interested in joining a market leading tech company with a fun, collaborative culture? Shure continues to expand our talented team across the globe. Come join us! We are looking for a iOS Developer in Hyderabad, IN. The primary role of the incumbent will be to develop Apps on the iOS platform for high end audio electronics. Apply today or refer a friend to our posting!

Should design, develop, and maintain application individually as well as work in a group.
Must adhere to agile methodologies and the project management followed in the project.
Should maintain quality and security of the assigned development tasks applying the best design and development guidelines as defined in the project.
Should work as per the defined project priorities and project schedules and ensure to complete the assigned projects within allotted timelines.
Interact with team for the day to day development tasks and hurdles.
Attend all the project Meetings, discussion, other sprint meetings etc.

We are looking for iOS Developers with 3-5 years of experience in iOS mobile apps development.
Required technical skillset:
Objective-C, Swift programming languages, Native iOS apps development, Cocoa Touch
Desired Competencies:
Must Have:
Expertise in Objective-C programming language.
Experience in Swift programming.
Expertise in Cocoa Touch frameworks.
Expertise in developing iOS applications.
Good knowledge on Design patterns.
Good knowledge in debugging and optimization tools like Instruments.
Good knowledge in In-App purchase, Push Notifications.
Good knowledge in generating .ipa files using different provisioning profiles.
Knowledge in writing unit test cases.
Should have good communication Skills.
Experience in working in projects run as per Agile Methodology.
Experience in interacting with people with different nationalities.
Good to have:
Good knowledge in Bluetooth programming.
Knowledge in Cross platform technologies like PhoneGap.
Knowledge in native Android development.
Knowledge on External Accessory framework, MultipeerConnectivity framework.
Good to have knowledge in Audio domain and related frameworks.
Desired Tools:
Xcode IDE, Instruments.
Experience in using client apps for version controlling system like svnX, bitbucket, Tower etc.
Experience in code review tools/applications like gerrit, codecollaborator.
Experience in version controlling system (SVN, git).
Experience in Bug Tracking System (JIRA, QC etc..).
Qualification:
Bachelor's in Engineering in CSE or EE or equivalent.","Shure Incorporated
4.1",Hyderabad
Senior iOS/macOS developer,"Senior IOS/Mac OS Developer:

Why would I enjoy this new opportunity?

You have an analytical mind and a passion for the craft of software engineering, and you love solving problems and learning new things. Technologies come and go, but that excites you because of the endless possibilities it creates. You are looking for an opportunity to work for a company whose software is utilized by every Fortune 500 company and significantly impacts every industry. You want to be a part of a collaborative environment whose teams care about the product they are creating, how they create it, and the impact it has on customers business objectives.

Workspace ONE is a digital workspace platform that simply and securely delivers and manages any app on any device by integrating access control, application management and multi-platform endpoint management. It is available as a cloud service or for on-premises deployment. The team manages critical services which offer secure access management solutions.

Explain the vision for this role; What is the primary need, technical challenge, or most significant problem you are going to solve?

Our goal is to enable Workspace One-Unified Endpoint Management platform to scale and manage billions of devices across various operating system platforms and device types. As part of the UEM, our vision is to provide seamless experience for remote access across all platforms, any device and improve cloud security model by integrating rick network services. The team you will be part of, consistently involved in writing code, design and development of scalable software. You will be owning engineering initiatives and champion a culture of high ownership, continuous improvement, and engineering excellence.

Within the first 6-12 months, what are the 2-3 most important performance goals I would be expected to complete for you to consider me successful in this role?

You will need to produce software design and execute them for new use cases for remote access solutions supporting various platforms (Windows, macOS specifically).

You will be regularly evaluated on the quality of the product you create and design to scale the current system.

What type of work will I be doing? What assignments or requirements* will I be performing on a regular basis? What are my deliverables?
You will be building and maintaining the large scale, high availability apps.
You will design software and write/review code in Objective-C, Swift, C++
Continuously raise our standard of engineering excellence by implementing best practices for coding, testing, and deployment
Who is the hiring manager? What is your background and management style? What is the structure of the team/organization I will be working with?

This role will be reporting to the Senior Manager, Engineering. Our teams focus is on challenging the status quo by innovating but at the same time getting stuff done.

We believe in building trust amongst all our stakeholders and committing to make our customers successful.

The team is organized based on modules to define clear responsibility and accountability. At the same time teams are fluid enough to own up whatever is needed for the larger product to be successful.

What are the benefits and perks of working at VMware?

You and your loved ones will be supported with a competitive and comprehensive benefits package. Below are some highlights, or you can view the complete benefits package by visiting www.benefits.vmware.com.

· Employee Stock Purchase Plan

· Medical Coverage, Retirement, and Parental Leave Plans for All Family Types

· Generous Time Off Programs

· 40 hours of paid time to volunteer in your community

· Rethink's Neurodiversity program to support parents raising children with learning or behavior challenges, or developmental disabilities

· Financial contributions to your ongoing development (conference participation, trainings, course work, etc.)

· Healthy and local inspired snacks in all our pantries

We need:

- 5+ experience in working on Objective-C, Swift, C++

- Strong computer fundamentals and OO programming concepts.

- 4+ experience in working on Network Extensions, Secure Transport, URL sessions.

- Solid understanding of iOS/macOS development ecosystems

- Experience in building and maintaining large scale, high availability apps.

- Excellent problem solving and troubleshooting skills.

- Experience in native development of desktop applications on macOS platform is a big plus.

- Experience developing with iOS or macOS SDK is a plus.

- Experience in Xcode Profiling, System Extensions, Application extensions, Keychain services

- Strong networking knowledge, TCP/IP, UDP, HTTPS etc.

Category : Engineering and Technology
Subcategory: Software Engineering
Experience: Manager and Professional
Full Time/ Part Time: Full Time
Posted Date: 2020-06-29

VMware Company Overview: At VMware, we believe that software has the power to unlock new opportunities for people and our planet. We look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly. Our cloud, mobility, and security software form a flexible, consistent digital foundation for securely delivering the apps, services and experiences that are transforming business innovation around the globe. At the core of what we do are our people who deeply value execution, passion, integrity, customers, and community. Shape whats possible today at http://careers.vmware.com.

Equal Employment Opportunity Statement: VMware is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: VMware is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at VMware are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. VMware will not tolerate discrimination or harassment based on any of these characteristics. VMware encourages applicants of all ages. Vmware will provide reasonable accommodation to employees who have protected disabilities consistent with local law.","VMware
4.3",Bengaluru
iOS UI Developer (WellDoc INDIA),"Overview
The Opportunity
If you’ve ever wished you had a job that could make a difference in someone’s life, this is your chance to support a new approach to chronic care management. Welldoc is pushing the industry forward – helping health plans, health systems and employers move beyond traditional health coaching and consumer mobile apps. As a pioneer in digital therapeutics, we’re helping to simplify people’s healthcare experience, drive improved self-care and support consumer empowerment.
Welldoc has two randomized clinical trials and 40+ peer-reviewed studies that clearly demonstrate the clinical impact of our solution. Welldoc was the first to receive FDA clearance for a diabetes software solution (Class II Medical Device) and continues to drive market innovation across conditions. In an extremely crowded space, we offer differentiated approaches while ensuring value for our clients through performance-based payments.
Join a winner! In 2019, Welldoc’s precision, real-time feedback solution was recognized as Best Personal Health App (MedTech Breakthrough Awards) and Best Established App (Digital Diabetes Congress). If you are passionate about driving the health care industry forward to better improve the lives of patients, members and employees, let’s talk!

Job Overview:
-Role offered – iOS Software Engineer
-Design and build iOS products and platform
-iOS Coding using Objective C and Swift, ensuring quality deliverables, fixing application defects, maintaining code, and implementing application updates.
-Report to Software Engineering Lead or Technical Manager on product team
General Responsibilities & Duties:
UI Development using Objective C and Swift, Documenting designs, Defect free deliverables
Ensure the performance , quality and responsiveness of application
Critical thinking and problem-solving
Identify root cause and work on defect fixing
Be a great team player, Great interpersonal and communication skills
Time-management with regard to work assigned

Minimum Qualification:
3-5 years experience in iOS application development focused on modern user interface
Bachelor’s Degree in Computer Science, Software Engineering, or equivalent.
Technical Skills required
Proficient with Objective-C, Swift and Cocoa Touch
Experience with iOS frameworks such as UIKit.
Knowledge of Apple Human Interface Guidelines for mobile application is must.
Candidate must have experience with auto layout, dynamic UI controls, graphs and animations.
Experience with building complex interactions that includes screen transitions, dynamic content changes and logic based animations
Experience of building reusable UI controls, dynamic charts and graphs is must.
Algorithm based UI interactions that includes reading and rendering large amount of data from storage onto the screen is desired.
Experience with third party libraries like HighCharts, MPCharts will be great
Must have programming expertise, data structures, clean coding expertise, experience of using various design patterns such as singleton, MVC, MVP etc.
Proficient in using tools such as SVN, JIRA, Jenkins","WellDoc, Inc.
4.0",Bengaluru
iOS Developer,"iOS Developer



Job description

Zomato as an organisation has grown and scaled multifold over the last few years. We are committed to bringing the best food to everyone; no matter who they are and what they can afford.

To know more about what’s cooking at Zomato, here is our Annual Report FY’19 and and half year financial report FY2020. Creating and re-inventing has been a key practice at Zomato and at this point we require folks who can help us keep pace with the dynamic ecosystem we are all a part of. Check out how life at Zomato looks like and our blog for all the latest updates.

About the role

Zomato is more than 8 years old on the iTunes Store, and one of the top apps. In 19 countries, the de facto way people order or discover food is Zomato. We have been delighting users and helping them chalk their food journeys for the greater part of this decade.

The mobile platform team at Zomato works on performance, reliability and sustainability of our mobile properties. As a member of the platform team, you are expected to be always on the lookout for performance and reliability issues, and not just fix them, but ensure an architecture that does not lead to them in the first place.

You should have been working on iOS for at least the last several Xcode releases and know how to delight iOS users. Whenever you are using an app, you are always looking for tiny design inconsistencies, the little stutter, the loader that spun for too long and imagining what might have been the cause for it.

Here's what you'll do everyday:
Upkeep of general iOS codebase at Zomato - keeping SDKs, libraries up to date, ensuring latest security patches to libraries are pulled in
Maintain and evolve the architecture of multiple Zomato iOS apps
Build reusable libraries, toolkits and developer tools for usage across multiple mobile teams on Zomato
Own the process of ensuring our apps are always highly reliable and performant. Always targeting 100% crash free users
Discover, design, develop, deploy, debug. Repeat!


Requirements

Who fits the bill?
2-5 years of experience with Objective-C, C/C++ and Swift and native iOS Development
Well versed with the internals of build and packaging tools like Cocoapods, Carthage
Strong computer science fundamentals - equivalent of a CS/IT bachelors degree
Experience using and maintaining CI/CD pipelines
Inclination towards writing tests, following TDD
Understanding of MVVM, MVP, MVC, Viper models and the ability to choose based on situations","Zomato
4.0",Gurgaon
Engineer II - Android Developer,"Interested in joining a market leading tech company with a fun, collaborative culture? Shure continues to expand our talented team across the globe. Come join us! We are looking for a Android Developer in Hyderabad, IN. Apply today or refer a friend to our posting! hashtag#shurecareers

Should design, develop, and maintain application individually as well as work in a group.
Must adhere to agile methodologies and the project management followed in the project.
Should maintain quality and security of the assigned development tasks applying the best design and development guidelines as defined in the project.
Should work as per the defined project priorities and project schedules and ensure to complete the assigned projects within allotted timelines.
Interact with team for the day to day development tasks and hurdles.
Attend all the project Meetings, discussion, other sprint meetings etc.

We are looking for Android Developers with 3-5 years of experience.
Required skillset:
Android SDK and java programming, Advanced Apps Development on Android phones/tablets, Android GUI and SQLite database, Kotlin Programming
Competency:
Must Have:
Extensive experience with the Android SDK and java programming language.
Design and build advanced applications for the Android platform and having hands-on mobile application development experience for Android phones/tablets.
Knowledge of Android GUI, Camera, GPS API, Maps API, Services and SQLite database.
Good knowledge in socket programming, device communication.
Good knowledge on Design patterns.
Experience with third-party libraries and APIs.
Good knowledge in In-App purchase, Push Notifications.
Knowledge in writing unit test cases. Knowledge in publishing app to Google Play Store.
Experience in working in projects run as per Agile Methodology.
Experience in interacting with people with different nationalities.
Experience on web services integration (SOAP, REST, JSON, XML).
Experience in Kotlin programming.
Should have good communication Skills.
Good debugging skills.
Good coding standards and documentation skills
Good to have:
Good knowledge in Bluetooth programming.
Good to have knowledge in Audio domain and related frameworks.
Knowledge in HTML5, JavaScript, CSS, Jquery mobile.
Knowledge in Cross platform technologies like PhoneGap.
Experience in C/C++ and Android NDK is a plus.
Desired Tools:
Android IDE.
Experience in using client apps for version controlling system like SVN, Git etc.
Experience in code review tools/applications like gerrit, codecollaborator.
JIRA.
Qualification:
Bachelor’s in Engineering in CS, EE or equivalent","Shure Incorporated
4.1",Hyderabad
iOS Developer,"Location: At HO

Responsibilities

Design and build applications for the iOS platform
Ensure the performance, quality, and responsiveness of applications
Collaborate with a team to define, design, and ship new features
Identify and correct bottlenecks and fix bugs
Help maintain code quality, organization, and automating code generation

Skills

Proficient with Objective-C or Swift, and Cocoa Touch
Experience with iOS frameworks such as Core Data, Core Animation, etc.
Experience with offline storage, threading, and performance tuning
Familiarity with RESTful APIs to connect iOS applications to back-end services
Knowledge of other web technologies and UI/UX standards
Understanding of Apple’s design principles and interface guidelines
Knowledge of low-level C-based libraries is preferred
Experience with performance and memory tuning with tools
Familiarity with cloud message APIs and push notifications
Knack for benchmarking and optimization
Proficient understanding of code versioning tools
Familiarity with continuous integration
Salary will be commensurate with skill/knowledge level and experience, and will match the best in the industry.

Please send your latest Resume (in Word/PDF format) with passport size photograph (in JPG format) to careers@citspl.com mentioning the Job Code and location preference (for non HO openings).

In case you have applied within the last 6 months, we request you to apply again after 6 months have elapsed since your last application.

Any Queries May Please Be Sent To The Email ID Mentioned Above Only.

We Will Not Be Able To Respond To Career Related Queries By Phone.","Catalyst IT solutions
5.0",At
iOS Developer,"Daytoday is a startup founded by MIT alums dedicated to improving the patient care experience before and after medical procedures. We work with patients undergoing complex medical procedures and surgeries, as well as complex treatment courses such as cancer care. Through end-to-end digital outpatient care plans created by our medical staff, we support patients’ preparation, recovery, and return to life through some of their most difficult experiences. Our mobile app provides step-by-step, personalized care instructions and reminders, and live chat with personal care coaches.

We have our office locations across three continents and headquartered in Boston. You can learn more by visiting https://www.daytoday.health

We provide step-by-step, tailored care journeys for hospitals to guide patients through treatments and procedures.

Requirements

We are looking for someone who has :
2-8 years of experience in developing rich iOS consumer-facing apps
Expert level experience with swift and Xcode
Experience with RESTful API integration
Experience with databases such as CoreData
Strong experience with AutoLayout, Storyboards
Experience with iOS animations
Strong object-oriented and architectural skills
Experience with Git
Excellent communication and collaborative skills
Experience with unit testing frameworks such as XCTest
Very strong or expert in RxSwift and RxCocoa
Experience with TestFlight and Appstore deployments","DayToDay Health
4.2",Bengaluru
iOS Application Developer,"What are we looking for?

We are looking for an iOS Engineer who is a talented super ninja programmer and is interested in being part of a platform that handles millions of requests per day. Continuous integration, auto-scaled rolling releases, event-driven microservice architectures are all part of the daily gig. We are a team of 4,000 ambitious and curious people building trading platforms that are used by hundreds of millions of people every month to buy and sell almost anything.

What will you be doing?
You will work closely with other teams from the early stages of design all the way through identifying and resolving production issues.
You will support a wide range of products focusing on automation, availability and performance and above all reliability as well as supporting other engineers and business intelligence leading up to, during and after each sprint.
You will live true to our ambitions of building an industry leading platform which is relentlessly focused on innovation.
Develop elegant solutions for complex problems.
Write architecturally sound and maintainable code following best programming practices.
Work in a mentoring capacity within a peer-programming environment and provide guidance on tasks, irrespective of complexity or scale.
Handle the entire software development life cycle, end to end.
Unit-test code for robustness, including edge cases, usability and reliability.
Working with our testing team to ensure 100% test coverage.
Discovering and implementing the newest technologies.
Who are we looking for?
4+ years experience of iOS development and Swift.
A deep understanding of Cocoa-touch
A good understanding of Swift
A diverse portfolio of previously built iOS apps
Have published at least one or more iOS App to the market
You can talk all day about Core data, Core Animation and Core Graphics
Current knowledge of mobile architecture, landscape, trends and emerging markets
The ability to create world leading beautiful and elegant user interfaces
A solid understanding of RESTful applications
A solid understanding of the different caching techniques you can apply when developing a mobile app
A solid understanding of how to create data structures and ORM
Understanding of Agile methodologies and SCRUM
You understand git commands and have a GitHub or Bitbucket account
Problem solving; Analytical thinking; Conceptual thinking; Detail oriented;
Excellent communication and interpersonal skills. This is an absolute must. We have heated debates around complicated subjects and you will be expected to defend your points of view.
Ability to prioritize tasks and quickly adjust in a rapidly changing environment.
What do you need to know about us?
OLX India is part of the OLX Group, a global product and tech company with 17 brands, 40+ countries, 4000+ people and one mindset.
Our mission is to make it easier for people to buy and sell almost anything, promoting prosperity in local communities.
We are proud to be different, and we work differently too. We combine the spirit and agility of a start-up with the maturity that comes from being part of a 100-year-old company.
We are curious, ambitious and allergic to corporate interference. We improvise, experiment and push each other further, embracing uncertainty and driving change.","OLX Group
3.6",New Delhi
iOS Application Developer,"What are we looking for?

We are looking for an iOS Engineer who is a talented super ninja programmer and is interested in being part of a platform that handles millions of requests per day. Continuous integration, auto-scaled rolling releases, event-driven microservice architectures are all part of the daily gig. We are a team of 4,000 ambitious and curious people building trading platforms that are used by hundreds of millions of people every month to buy and sell almost anything.

What will you be doing?
You will work closely with other teams from the early stages of design all the way through identifying and resolving production issues.
You will support a wide range of products focusing on automation, availability and performance and above all reliability as well as supporting other engineers and business intelligence leading up to, during and after each sprint.
You will live true to our ambitions of building an industry leading platform which is relentlessly focused on innovation.
Develop elegant solutions for complex problems.
Write architecturally sound and maintainable code following best programming practices.
Work in a mentoring capacity within a peer-programming environment and provide guidance on tasks, irrespective of complexity or scale.
Handle the entire software development life cycle, end to end.
Unit-test code for robustness, including edge cases, usability and reliability.
Working with our testing team to ensure 100% test coverage.
Discovering and implementing the newest technologies.
Who are we looking for?
4+ years experience of iOS development and Swift.
A deep understanding of Cocoa-touch
A good understanding of Swift
A diverse portfolio of previously built iOS apps
Have published at least one or more iOS App to the market
You can talk all day about Core data, Core Animation and Core Graphics
Current knowledge of mobile architecture, landscape, trends and emerging markets
The ability to create world leading beautiful and elegant user interfaces
A solid understanding of RESTful applications
A solid understanding of the different caching techniques you can apply when developing a mobile app
A solid understanding of how to create data structures and ORM
Understanding of Agile methodologies and SCRUM
You understand git commands and have a GitHub or Bitbucket account
Problem solving; Analytical thinking; Conceptual thinking; Detail oriented;
Excellent communication and interpersonal skills. This is an absolute must. We have heated debates around complicated subjects and you will be expected to defend your points of view.
Ability to prioritize tasks and quickly adjust in a rapidly changing environment.
What do you need to know about us?
OLX India is part of the OLX Group, a global product and tech company with 17 brands, 40+ countries, 4000+ people and one mindset.
Our mission is to make it easier for people to buy and sell almost anything, promoting prosperity in local communities.
We are proud to be different, and we work differently too. We combine the spirit and agility of a start-up with the maturity that comes from being part of a 100-year-old company.
We are curious, ambitious and allergic to corporate interference. We improvise, experiment and push each other further, embracing uncertainty and driving change.","OLX Group
3.6",New Delhi
