Title,Location,Company,Salary,Sponsored,Description
Android Developer (Kotlin),"Ahmedabad, Gujarat",codExalters Techlabs,"₹15,000 - ₹25,000 a month",Organic,"Job Summary
We are looking for an Android Developer who possesses a passion for pushing mobile technologies to the limits and will work with our team of talented engineers to design and build the next generation of our mobile applications.
Responsibilities and Duties
Design and build advanced applications for the Android platform
Collaborate with cross-functional teams to define, design, and ship new features.
Work with outside data sources and API’s
Unit-test code for robustness, including edge cases, usability, and general reliability.
Work on bug fixing and improving application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Job Types: Full-time, Contract
Salary: ₹15,000.00 - ₹25,000.00 per month
Experience:
Android Development: 2 years (Preferred)
Education:
Bachelor's (Required)"
Mobile App Developer,"Ranchi, Jharkhand",MILDTRIX BUSINESS SOLUTIONS PVT LTD,"₹2,00,000 - ₹6,00,000 a year",Organic,"Full time Mobile App Developer having 2+ Years of experience in Flutter, Node JS, Angular Or React.
Salary as per experience. Best in city.
Job Types: Full-time, Contract, Walk-In
Salary: ₹200,000.00 - ₹600,000.00 per year
Experience:
.Net: 1 year (Preferred)
software development: 1 year (Preferred)
total work: 1 year (Preferred)
Java: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)"
Android App Developer,None,Parozs,"₹25,000 - ₹30,000 a month",Organic,"who can develop and restore and integrate payments through direct UPI transfer without involvement of payment gateway
Job Types: Full-time, Contract
Salary: ₹25,000.00 - ₹30,000.00 per month
Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Programming Languages needed:
Java (Preferred)
Work Remotely:
Yes"
Android Developer,"Jaipur, Rajasthan",reknown organization,"₹15,000 - ₹28,000 a month",Organic,"Minimum experience required in years : 1 +
Job Description :
· Experience with Java and native platform.
· Experience with third-party libraries and APIs.
· Translate designs and wireframes into high quality code.
· Solid understanding of the full mobile development life cycle.
· Understanding of Google’s Android design principles and interface guidelines.
· Help maintain code quality.
Skill Sets : Java and Native platform knowledge
Job Type: Full-time
Salary: ₹15,000.00 - ₹28,000.00 per month"
Android Developer,"Noida, Uttar Pradesh",Adcount Technologies,None,Organic,"Essential Functions
Work collaboration in a distributed team.
Work on development of an e-commerse application.
Key Requirements
Minimum 1 year of experience in Android development.
Experience in e-commerse mobile applications is a plus.
Ability to create complete application from scratch."
"Android Developer for Pune, Hinjewadi office","Pune, Maharashtra",iT Gurus Software,"₹1,20,000 - ₹6,00,000 a year",Organic,"Android developer with upto 5 years experience

Experience developing, enhancing and deploying mobile applications
Development using Android framework and Eclipse
Experience with RESTful web services
Experience with SQLite, mobile frameworks & architectures
Website : https://www.itgurussoftware.com
Job Location : Pune
Years of Experience : 0.5 Yrs - 5 Yrs
Annual CTC : 120,000 - 600,000
Skills : Android, JSON, SQLite, Kotlin
Venue : Ground floor, IT-06 building, Qubix Business Park, Neopro SEZ, Near Cognizant Sys, Rajiv Gandhi Infotech Park - Phase-I, Hinjewadi, 400065"
Android Developer - 5 Days Working,"Ahmedabad, Gujarat",Incipient Info,"₹15,000 - ₹35,000 a month",Organic,"Looking for Android or Flutter developer who is expert in Java, Kotlin,XML,etc. If candidate have Flutter knowledge or experience then its big Plus point.
Responsibilities and Duties
Sound development knowledge of Android applications.
Must have exposure with XML/JSON, database and web services
Experience of working with multi-language, multi-screen resolutions
Excellent Android technical issue diagnosis and problem-solving skills Good Team Player
Experience with Flutter - Dart will be good match.
Key Skills
Android, kotlin, Flutter
Required Experience and Qualifications
Experience: 1 - 3 years
Benefits
5 days working
Flexible timing
Pleasant work environment
Advanced technology development
Job Type: Full-time
Salary: ₹15,000.00 - ₹35,000.00 per month
Experience:
Flutter: 1 year (Preferred)
Android development: 1 year (Required)"
Android Developer,"Bengaluru, Karnataka",CodersBrain,"₹75,000 - ₹80,000 a month",Organic,"Designing and developing advanced applications for the Android platform.
Unit-testing code for robustness, including edge cases, usability, and general reliability.
Bug fixing and improving application performance.
Job Type: Full-time
Salary: ₹75,000.00 - ₹80,000.00 per month
Experience:
total work: 2 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Hiring for Android Developer @ Digitas Mumbai,"Mumbai, Maharashtra",Publicis Groupe,None,Organic,"Company Description
Digitas is a marketing and technology agency blending insight and creativity to solve business problems. We work with many of the world’s best brands to help them define and execute their digital strategies. Our strength lies in our ability to, together diverse teams of digital experts to suit any brief we call it blending, and it’s the special sauce that makes our full service proposition supremely useful to our clients.
Across our network of 26 offices in 16 countries, we have 1800 digital experts delivering powerful and measurable ideas across communications, service design, branded content, technology innovation, mobile, CRM, digital media planning and buying, social media, EPR, and hosting. Our unique Dashboard product now underpins most of our big client relationships, putting measurement and ROI at the heart of our engagements.

Job Description
Digitas are looking for an Android developer responsible for the development and maintenance of native applications across industry sectors. Your primary focus will be the support and development of Android applications and their integration with back-end services.
You will be part of a team working alongside other project teams, QA engineers and developers working on different layers of the infrastructure. Therefore, commitment to collaborative problem solving, sophisticated design, and creating quality products is essential.
The role involves providing support for client events paid at overtime rates and in future may include an on-call rota for out of hours support and escalations.
Responsibilities:
Delivery:
Adopts a flexible approach to completing workload to ensure delivery within agreed timeframes
Work on bug fixes and improving app performance
Completes, and maintains, up-to-date, accurate and thorough documentation
Provide support and triage during client events which may include Out of Hours support
Ensures that technical fixes are implemented according to technical design and standards/best practices
Develops and applies knowledge of Android technologies on client projects
Unit tests code and delivers high quality work to agreed deadlines
Company:
Completes second level of certification in technology agreed with mentor
Communicates technical ideas and industry trends to colleagues through informal communication and formal presentations and training sessions
Endeavours to complete objectives identified with sponsor in CPR form
Mentors junior colleagues on an informal basis offering opinions and input in a supportive manner
Attends weekly technical meeting
Makes use of appropriate research materials (Internet, publications etc) to ensure skills and knowledge remain current
Maintains an up to date resume detailing client project experience
Maximises billable hours through making oneself available for client work. Makes best use of non-billable hours by working on internal initiatives, business development and self-development.
3. Qualifications and Experience
Has worked in software engineering/consultancy developing and supporting Android apps for at least 2 years
Has experience developing and supporting solutions involving a moderate to high degree of technical complexity
Degree in Software Engineering or Computer Science
Good knowledge of Java, Kotlin, Android SDK, different versions of Android, and how to deal with different screen sizes
Knowledge of Git
Familiarity with RESTful APIs to connect Android applications to back-end services
Knowledge of Play Store and considerations of releasing apps to the public
Knowledge of Android UI design principles, patterns, and best practices
Familiarity with the use of phone features, eg location, camera
Knowledge of the open-source Android ecosystem and the libraries available for common tasks
Passion for quality and attention to detail
Understanding of Google’s Android design principles and interface guidelines
Knowledge of Dependency Injection tools like Dagger2, Butterknife
Knowledge of Lambda expressions and Java 8 features
Familiarity with Continuous Integration tools eg Jenkins is a bonus
Good time-management skills
Good communication skills, verbal and written English and inter-personal skills

Qualifications

null

Additional Information

null"
Android Developer,"Mumbai, Maharashtra",Reliance Jio Infocomm Limited,None,Organic,"Job Responsibilities :

Responsible for android mobile development applications
Education Requirement :

B.E/B.Tech/MCA
Experience Requirement :

Minimum 5 Years - Maximum 7 Years
Skills & Competencies :

Android Development
Location Map : Mumbai RCP"
